,url,size,new,idx
123681,http://archive.northjersey.com/news/gwb-probe-trial-of-two-former-christie-aides-delayed-until-march-1.1408378,125636,7.0,1356.0
123648,http://archive.northjersey.com/news/gwb-probe-who-has-governor-christie-s-missing-phone-1.1623335,121236,7.0,1323.0
13644,http://archive.northjersey.com/news/gwb-report-a-preemptive-strike-to-isolate-bridget-kelly-her-lawyer-says-1.753703,109665,1.0,150.0
123705,http://archive.northjersey.com/news/gwb-scandal-baroni-lawyers-say-prosecutors-request-aimed-at-protecting-christie-inner-circle-1.1354255,117699,7.0,1380.0
13918,http://archive.northjersey.com/news/gwb-scandal-christie-knew-of-bridge-lane-closures-ex-port-authority-official-says-1.676341,131413,1.0,424.0
124032,http://archive.northjersey.com/news/gwb-scandal-christie-maintains-he-had-no-knowledge-or-involvement-1.1323630,126887,7.0,1707.0
124165,http://archive.northjersey.com/news/gwb-scandal-christie-says-he-doesn-t-recall-text-message-from-top-aide-1.1061117,117205,7.0,1840.0
123678,http://archive.northjersey.com/news/gwb-scandal-defense-alleges-wildstein-stole-hard-drive-and-gave-to-feds-1.1452849,137245,7.0,1353.0
13943,http://archive.northjersey.com/news/gwb-scandal-ex-christie-aide-bridget-anne-kelly-hires-new-lawyer-1.649178,104019,1.0,449.0
5050,http://archive.northjersey.com/news/gwb-scandal-kelly-stepien-to-fight-court-order-after-refusing-to-comply-with-subpoenas-1.679677,97643,0.0,5050.0
13751,http://archive.northjersey.com/news/gwb-scandal-lawyer-for-former-christie-adviser-says-client-appears-to-be-focus-of-federal-investigation-1.735444,113250,1.0,257.0
13847,http://archive.northjersey.com/news/gwb-scandal-newly-uncensored-messages-under-review-by-nj-lawmakers-1.708155,113444,1.0,353.0
13854,http://archive.northjersey.com/news/gwb-scandal-nj-lawmakers-want-details-about-who-edited-port-authority-exec-s-testimony-1.645793,113899,1.0,360.0
5129,http://archive.northjersey.com/news/gwb-scandal-port-authority-chief-wants-investigation-into-pa-cops-roles-1.670444,119751,0.0,5129.0
13772,http://archive.northjersey.com/news/gwb-scandal-puts-a-light-on-the-benefits-of-lobbying-1.716098,125470,1.0,278.0
13757,http://archive.northjersey.com/news/gwb-scandal-release-of-previously-redacted-messages-reveals-new-information-1.731391,131838,1.0,263.0
13662,http://archive.northjersey.com/news/gwb-scandal-top-dem-questions-christie-lawyers-internal-probe-that-clears-governor-1.750284,117145,1.0,168.0
4345,http://archive.northjersey.com/news/gwb-scandal-u-s-attorney-discounts-rumors-of-imminent-indictments-1.1053394,102163,0.0,4345.0
123633,http://archive.northjersey.com/news/gwb-trial-a-complex-case-for-bridgegate-players-1.1654876,135312,7.0,1308.0
14423,http://archive.northjersey.com/news/hoboken-mayor-portrayed-as-confused-in-report-commissioned-by-christie-s-office-1.752909,114435,2.0,341.0
14287,http://archive.northjersey.com/news/hoboken-mayor-zimmer-says-fears-of-christie-links-to-federal-prosecutors-kept-her-from-lodging-complaint-earlier-1.1000731,112274,2.0,205.0
123962,http://archive.northjersey.com/news/hoboken-superstorm-sandy-aid-investigation-reportedly-closes-1.1323763,123416,7.0,1637.0
123978,http://archive.northjersey.com/news/indicted-in-gwb-case-bridget-anne-kelly-proclaims-innocence-1.1323748,135844,7.0,1653.0
124146,http://archive.northjersey.com/news/inquiry-by-legislative-panel-finds-no-evidence-of-christie-involvement-in-gwb-scandal-1.1146761,130703,7.0,1821.0
123476,http://archive.northjersey.com/news/inside-look-at-the-record-s-gwb-coverage-video-1.1082371,106519,7.0,1151.0
124081,http://archive.northjersey.com/news/is-a-defining-moment-near-for-u-s-attorney-fishman-1.1307587,129631,7.0,1756.0
13915,http://archive.northjersey.com/news/jackson-gop-fundraisers-a-test-of-governor-christie-s-appeal-amid-gwb-scandal-1.645971,115918,1.0,421.0
123943,http://archive.northjersey.com/news/jackson-gop-rivals-refrain-from-piling-onto-christie-after-indictments-1.1324740,121252,7.0,1618.0
124312,http://archive.northjersey.com/news/january-tab-for-christie-law-firm-in-gwb-probe-at-nearly-1-1m-1.1010243,114847,7.0,1987.0
123663,http://archive.northjersey.com/news/judge-chastises-christie-s-lawyers-for-failure-to-keep-notes-in-gwb-probe-1.1474615,131018,7.0,1338.0
13552,http://archive.northjersey.com/news/judge-christie-ex-aides-kelly-stepien-can-withhold-documents-in-gwb-probe-1.877447,119494,1.0,58.0
123627,http://archive.northjersey.com/news/judge-denies-demand-for-christie-s-cellphone-says-gwb-defendants-are-overreaching-1.1627312,128016,7.0,1302.0
123565,http://archive.northjersey.com/news/judge-finds-probable-cause-in-complaint-against-christie-over-gwb-lane-closures-1.1676692,128079,7.0,1240.0
13687,http://archive.northjersey.com/news/judge-in-gwb-hearing-an-experienced-hand-1.737226,104900,1.0,193.0
14051,http://archive.northjersey.com/news/justification-for-gwb-study-was-flawed-from-the-start-1.694698,144320,1.0,557.0
14187,http://archive.northjersey.com/news/kelly-assemblyman-says-order-for-gwb-traffic-tie-up-came-from-outside-port-authority-1.714642,115888,2.0,105.0
13593,http://archive.northjersey.com/news/kelly-christie-report-renews-question-of-when-personal-lives-are-fair-game-or-out-of-bounds-1.837895,118738,1.0,99.0
123858,http://archive.northjersey.com/news/kelly-governor-christie-s-former-allies-look-to-change-the-narrative-1.1325359,127307,7.0,1533.0
13846,http://archive.northjersey.com/news/kelly-gwb-probe-to-look-at-why-port-authority-cops-pointed-stalled-drivers-toward-fort-lee-mayor-1.693874,123042,1.0,352.0
124056,http://archive.northjersey.com/news/kelly-lane-closures-a-punch-in-the-gut-to-sokolich-and-fort-lee-1.1323774,132819,7.0,1731.0
